40 3
153 85 166 
153 85 166 
153 85 166 
153 85 166 
153 85 166 
153 85 166 
153 85 166 
153 85 166 
153 85 166 
153 85 166 
102 170 89 
102 170 89 
102 170 89 
102 170 89 
102 170 89 
102 170 89 
102 170 89 
102 170 89 
102 169 89 
102 169 89 
102 169 89 
102 169 89 
166 169 89 
166 169 85 
166 105 85 
166 105 85 
166 105 85 
170 105 85 
154 106 85 
154 106 85 
154 106 85 
154 106 85 
154 106 85 
154 106 85 
154 102 85 
154 102 105 
154 101 105 
154 101 105 
153 101 105 
153 101 105 
