1
8 3
0.0011597 0.235572 0.648152 
0.0743736 0.270241 0.360027 
0.255287 0.98529 0.318918 
0.934233 0.178625 0.85757 
0.0348521 0.0085757 0.626759 
0.485885 0.272988 0.802179 
0.091464 0.448012 0.640156 
0.973266 0.660878 0.790613 
3 3
0.56328 0.040376 0.881405 
0.0683615 0.296793 0.985076 
0.0746483 0.0180059 0.0256355 
3 8
0.567248 0.515976 0.648122 0.720573 0.385052 0.380139 0.0264595 0.901303 
0.209906 0.861324 0.545885 0.964293 0.628193 0.372692 0.949461 0.231269 
0.520829 0.232826 0.897366 0.374737 0.412152 0.744285 0.35551 0.376263 
